City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.33,61.0,88.0,100.0,1.01,AU,1601176558.0
kaitangata,-46.28,169.85,45.0,68.0,57.0,15.01,NZ,1601176832.0
ushuaia,-54.8,-68.3,35.6,93.0,40.0,13.87,AR,1601176833.0
pouembout,-21.13,164.9,79.68,67.0,50.0,7.85,NC,1601176833.0
mataura,-46.19,168.86,46.99,65.0,92.0,15.01,NZ,1601176833.0
qaanaaq,77.48,-69.36,12.65,76.0,91.0,5.77,GL,1601176833.0
sakakah,29.97,40.21,75.2,31.0,0.0,5.82,SA,1601176833.0
acarau,-2.89,-40.12,76.35,86.0,39.0,14.85,BR,1601176834.0
barrow,71.29,-156.79,32.0,96.0,90.0,6.93,US,1601176834.0
tuktoyaktuk,69.45,-133.04,35.6,100.0,90.0,13.87,CA,1601176834.0
pevek,69.7,170.31,36.95,86.0,83.0,12.46,RU,1601176835.0
rikitea,-23.12,-134.97,74.44,83.0,0.0,12.55,PF,1601176835.0
saravena,6.95,-71.88,72.79,78.0,33.0,3.49,CO,1601176835.0
albany,42.6,-73.97,69.01,96.0,0.0,5.32,US,1601176836.0
punta arenas,-53.15,-70.92,37.4,86.0,75.0,19.46,CL,1601176836.0
dikson,73.51,80.55,37.89,80.0,100.0,21.61,RU,1601176836.0
labuhan,-6.88,112.21,88.79,53.0,100.0,3.0,ID,1601176836.0
new norfolk,-42.78,147.06,52.0,62.0,87.0,3.0,AU,1601176836.0
severo-kurilsk,50.68,156.12,52.07,60.0,94.0,8.61,RU,1601176837.0
hobart,-42.88,147.33,52.0,43.0,40.0,17.22,AU,1601176731.0
sawtell,-30.38,153.1,66.99,37.0,0.0,14.99,AU,1601176837.0
port alfred,-33.59,26.89,51.67,66.0,7.0,16.44,ZA,1601176838.0
hashtrud,37.48,47.05,53.55,68.0,0.0,1.59,IR,1601176838.0
mehamn,71.04,27.85,40.91,72.0,28.0,16.53,NO,1601176838.0
castro,-24.79,-50.01,66.31,48.0,0.0,4.74,BR,1601176838.0
bredasdorp,-34.53,20.04,44.6,87.0,23.0,9.17,ZA,1601176839.0
hilo,19.73,-155.09,82.4,61.0,75.0,8.05,US,1601176839.0
angoche,-16.23,39.91,72.93,81.0,0.0,13.67,MZ,1601176839.0
khatanga,71.97,102.5,44.19,92.0,100.0,15.12,RU,1601176840.0
torbay,47.67,-52.73,54.0,81.0,75.0,17.22,CA,1601176840.0
puerto ayora,-0.74,-90.35,68.0,87.0,20.0,3.0,EC,1601176840.0
christchurch,-43.53,172.63,66.2,20.0,3.0,31.09,NZ,1601176840.0
arraial do cabo,-22.97,-42.03,72.75,88.0,0.0,20.42,BR,1601176840.0
fatehgarh churian,31.86,74.96,75.2,88.0,0.0,5.61,IN,1601176841.0
riyadh,24.69,46.72,75.2,36.0,0.0,2.48,SA,1601176695.0
saldanha,-33.01,17.94,41.0,86.0,46.0,2.24,ZA,1601176841.0
saskylakh,71.92,114.08,35.73,90.0,100.0,16.69,RU,1601176638.0
vila velha,-20.33,-40.29,77.0,78.0,0.0,10.29,BR,1601176759.0
bluff,-46.6,168.33,46.99,65.0,78.0,15.01,NZ,1601176842.0
bengkulu,-3.8,102.27,82.31,70.0,98.0,7.61,ID,1601176585.0
beringovskiy,63.05,179.32,38.28,73.0,27.0,17.29,RU,1601176842.0
salinopolis,-0.61,-47.36,78.8,81.0,100.0,11.74,BR,1601176843.0
kapaa,22.08,-159.32,84.2,62.0,40.0,11.41,US,1601176843.0
cidreira,-30.18,-50.21,64.96,94.0,100.0,21.39,BR,1601176843.0
tasiilaq,65.61,-37.64,34.61,90.0,100.0,2.62,GL,1601176844.0
emba,48.83,58.14,45.77,56.0,0.0,9.44,KZ,1601176844.0
kingman,35.19,-114.05,82.99,15.0,1.0,6.93,US,1601176844.0
san patricio,19.22,-104.7,79.61,80.0,28.0,1.39,MX,1601176844.0
abha,18.22,42.51,64.4,31.0,0.0,7.61,SA,1601176845.0
atuona,-9.8,-139.03,78.44,71.0,1.0,12.33,PF,1601176845.0
vardo,70.37,31.11,41.63,68.0,5.0,11.88,NO,1601176845.0
pachino,36.72,15.09,59.0,70.0,99.0,9.17,IT,1601176845.0
aguimes,27.91,-15.45,73.4,69.0,75.0,26.4,ES,1601176845.0
vaini,-21.2,-175.2,78.8,69.0,20.0,11.41,TO,1601176846.0
longyearbyen,78.22,15.64,28.4,68.0,75.0,8.05,SJ,1601176846.0
sterling,39.01,-77.43,68.0,88.0,90.0,4.7,US,1601176846.0
coahuayana,18.73,-103.68,78.01,81.0,16.0,1.03,MX,1601176846.0
lincoln,40.8,-96.67,75.99,38.0,1.0,10.29,US,1601176847.0
codrington,-38.27,141.97,52.97,60.0,2.0,7.49,AU,1601176847.0
ribeira grande,38.52,-28.7,70.38,88.0,66.0,14.74,PT,1601176847.0
yaan,7.38,8.57,70.75,98.0,100.0,4.56,NG,1601176848.0
avarua,-21.21,-159.78,75.2,73.0,86.0,11.41,CK,1601176848.0
bambous virieux,-20.34,57.76,70.0,77.0,75.0,6.93,MU,1601176848.0
hirara,24.8,125.28,75.2,88.0,75.0,9.17,JP,1601176690.0
surab,28.49,66.26,65.79,21.0,0.0,4.07,PK,1601176848.0
yulara,-25.24,130.99,78.8,14.0,0.0,9.17,AU,1601176849.0
geraldton,-28.77,114.6,71.6,46.0,90.0,8.05,AU,1601176753.0
mogadishu,2.04,45.34,76.3,85.0,64.0,9.1,SO,1601176725.0
tiksi,71.69,128.87,42.08,79.0,100.0,4.94,RU,1601176849.0
hofn,64.25,-15.21,49.01,97.0,100.0,7.87,IS,1601176849.0
ixtapa,20.7,-105.2,82.99,88.0,75.0,0.87,MX,1601176850.0
provideniya,64.38,-173.3,36.77,75.0,49.0,8.59,RU,1601176850.0
narsaq,60.92,-46.05,35.6,55.0,0.0,5.82,GL,1601176850.0
la libertad,-2.23,-80.9,69.04,86.0,11.0,10.42,EC,1601176850.0
hermanus,-34.42,19.23,44.01,94.0,82.0,1.01,ZA,1601176851.0
sao joao da barra,-21.64,-41.05,73.09,87.0,0.0,14.52,BR,1601176851.0
fort nelson,58.81,-122.7,44.6,93.0,75.0,3.36,CA,1601176851.0
willowmore,-33.29,23.49,37.13,80.0,0.0,2.75,ZA,1601176851.0
chokurdakh,70.63,147.92,45.59,55.0,23.0,12.39,RU,1601176834.0
kavieng,-2.57,150.8,83.48,79.0,87.0,10.89,PG,1601176852.0
hasaki,35.73,140.83,72.0,94.0,75.0,6.93,JP,1601176757.0
pangkalanbuun,-2.68,111.62,90.46,50.0,100.0,3.53,ID,1601176852.0
tura,25.52,90.22,76.77,95.0,100.0,5.41,IN,1601176853.0
upernavik,72.79,-56.15,27.91,93.0,100.0,3.89,GL,1601176853.0
lompoc,34.64,-120.46,60.8,82.0,1.0,8.05,US,1601176853.0
yellowknife,62.46,-114.35,44.6,87.0,90.0,4.7,CA,1601176853.0
marawi,8.0,124.29,82.99,75.0,4.0,5.99,PH,1601176854.0
bokhan,53.15,103.77,43.3,84.0,98.0,13.15,RU,1601176854.0
cape town,-33.93,18.42,48.99,81.0,75.0,6.93,ZA,1601176855.0
pierre,44.37,-100.35,63.0,54.0,1.0,9.17,US,1601176855.0
baruun-urt,46.68,113.28,56.37,36.0,72.0,8.61,MN,1601176806.0
leningradskiy,69.38,178.42,33.76,92.0,100.0,7.47,RU,1601176855.0
bom jardim,-7.8,-35.59,66.0,98.0,96.0,4.76,BR,1601176855.0
thompson,55.74,-97.86,42.8,93.0,75.0,6.93,CA,1601176856.0
flinders,-34.58,150.86,63.0,54.0,46.0,7.0,AU,1601176856.0
kahului,20.89,-156.47,87.8,48.0,90.0,21.92,US,1601176856.0
egvekinot,66.32,-179.17,32.83,82.0,2.0,5.12,RU,1601176857.0
harker heights,31.08,-97.66,78.8,69.0,1.0,11.41,US,1601176857.0
nanortalik,60.14,-45.24,37.72,81.0,0.0,10.33,GL,1601176857.0
suntar,62.14,117.63,48.38,66.0,98.0,11.81,RU,1601176665.0
pochutla,15.74,-96.47,78.01,93.0,100.0,2.01,MX,1601176858.0
nador,35.17,-2.93,73.4,40.0,24.0,6.93,MA,1601176858.0
saint george,37.1,-113.58,82.4,11.0,1.0,5.82,US,1601176858.0
mar del plata,-38.0,-57.56,54.0,100.0,90.0,6.93,AR,1601176858.0
carnarvon,-24.87,113.63,73.4,46.0,17.0,12.75,AU,1601176806.0
scarborough,54.28,-0.4,48.99,85.0,100.0,11.01,GB,1601176847.0
port elizabeth,-33.92,25.57,50.0,71.0,40.0,14.99,ZA,1601176859.0
arua,3.02,30.91,63.68,84.0,78.0,0.85,UG,1601176859.0
hualmay,-11.1,-77.61,60.31,84.0,16.0,9.75,PE,1601176859.0
zheleznogorsk,52.33,35.37,57.52,39.0,2.0,16.89,RU,1601176860.0
east london,-33.02,27.91,50.0,61.0,2.0,9.17,ZA,1601176860.0
havelock,34.88,-76.9,73.4,83.0,40.0,6.93,US,1601176860.0
zhigalovo,54.81,105.16,46.26,72.0,88.0,9.8,RU,1601176860.0
buckeye,33.37,-112.58,91.99,16.0,0.0,4.7,US,1601176861.0
coffs harbour,-30.3,153.13,66.99,37.0,0.0,14.99,AU,1601176861.0
jamestown,42.1,-79.24,64.0,82.0,1.0,10.29,US,1601176861.0
uyuni,-20.46,-66.83,48.06,43.0,0.0,7.23,BO,1601176861.0
san policarpo,12.18,125.51,85.71,71.0,26.0,9.37,PH,1601176861.0
lebu,-37.62,-73.65,48.13,90.0,15.0,9.95,CL,1601176862.0
uray,60.12,64.78,46.96,94.0,78.0,5.14,RU,1601176862.0
limon,10.0,-83.03,81.19,72.0,70.0,1.14,CR,1601176626.0
erenhot,43.65,111.98,65.66,44.0,0.0,7.9,CN,1601176563.0
mount gambier,-37.83,140.77,55.4,62.0,40.0,4.7,AU,1601176863.0
beidao,34.57,105.89,63.77,67.0,98.0,8.9,CN,1601176863.0
polyarnyy,69.2,33.45,30.2,100.0,20.0,4.47,RU,1601176863.0
codajas,-3.84,-62.06,73.67,95.0,94.0,1.14,BR,1601176864.0
norman wells,65.28,-126.83,39.2,86.0,75.0,2.24,CA,1601176864.0
bubaque,11.28,-15.83,80.49,79.0,100.0,0.83,GW,1601176864.0
katangli,51.71,143.23,53.62,73.0,100.0,14.99,RU,1601176864.0
kakonko,-3.28,30.96,63.5,78.0,45.0,2.08,TZ,1601176864.0
tamworth,52.63,-1.7,48.2,70.0,90.0,12.75,GB,1601176785.0
araouane,18.9,-3.53,90.1,12.0,0.0,1.12,ML,1601176865.0
camocim,-2.9,-40.84,73.78,89.0,2.0,10.22,BR,1601176865.0
alice springs,-23.7,133.88,77.0,14.0,9.0,11.41,AU,1601176865.0
casablanca,33.59,-7.62,69.01,87.0,0.0,4.7,MA,1601176865.0
shimoda,34.67,138.95,69.8,88.0,75.0,9.17,JP,1601176866.0
faanui,-16.48,-151.75,78.84,79.0,70.0,12.66,PF,1601176866.0
tomatlan,19.93,-105.25,77.31,86.0,40.0,0.45,MX,1601176866.0
touros,-5.2,-35.46,71.6,94.0,0.0,4.7,BR,1601176866.0
raudeberg,61.99,5.14,48.0,84.0,0.0,11.01,NO,1601176867.0
laguna,38.42,-121.42,82.99,34.0,1.0,4.7,US,1601176867.0
pisco,-13.7,-76.22,63.0,77.0,0.0,6.93,PE,1601176867.0
waunakee,43.19,-89.46,73.99,69.0,90.0,12.75,US,1601176867.0
pasighat,28.07,95.33,76.24,86.0,100.0,2.28,IN,1601176781.0
nhulunbuy,-12.23,136.77,87.8,58.0,75.0,12.75,AU,1601176868.0
victoria,22.29,114.16,84.0,80.0,100.0,1.01,HK,1601176631.0
talaya,61.38,152.75,54.03,39.0,17.0,8.59,RU,1601176868.0
saint anthony,45.02,-93.22,61.0,93.0,90.0,3.36,US,1601176868.0
jardim,-21.48,-56.14,82.45,38.0,0.0,6.67,BR,1601176869.0
sorong,-0.88,131.25,82.42,78.0,16.0,2.44,ID,1601176735.0
izobilnyy,45.37,41.71,55.4,82.0,40.0,11.18,RU,1601176869.0
buala,-8.14,159.59,85.84,67.0,26.0,7.87,SB,1601176869.0
baglung,28.27,83.59,75.79,54.0,0.0,0.87,NP,1601176802.0
kazachinskoye,57.7,93.28,44.15,88.0,100.0,6.71,RU,1601176870.0
saint-philippe,-21.36,55.77,70.0,49.0,36.0,8.05,RE,1601176870.0
kantang,7.41,99.52,82.4,83.0,40.0,3.36,TH,1601176870.0
zabol,32.25,67.25,60.33,24.0,0.0,2.26,AF,1601176870.0
springdale,36.19,-94.13,68.0,94.0,1.0,4.7,US,1601176870.0
kruisfontein,-34.0,24.73,48.0,74.0,0.0,1.01,ZA,1601176871.0
kanniyakumari,8.08,77.57,81.66,76.0,10.0,11.32,IN,1601176871.0
naze,28.37,129.48,82.4,65.0,75.0,14.99,JP,1601176871.0
kot samaba,28.55,70.47,85.68,55.0,1.0,12.3,PK,1601176871.0
praya,14.92,-23.51,78.8,88.0,40.0,10.29,CV,1601176872.0
grand gaube,-20.01,57.66,70.0,78.0,21.0,7.0,MU,1601176872.0
barda,40.37,47.13,64.15,73.0,27.0,2.15,AZ,1601176872.0
bethel,41.37,-73.41,66.99,93.0,90.0,3.4,US,1601176872.0
leh,34.17,77.58,44.06,53.0,4.0,6.35,IN,1601176872.0
dovolnoye,54.5,79.67,44.35,73.0,1.0,4.25,RU,1601176873.0
lavrentiya,65.58,-171.0,36.63,79.0,67.0,16.37,RU,1601176873.0
chekhov,55.14,37.47,53.6,61.0,100.0,11.18,RU,1601176873.0
nikolskoye,59.7,30.79,54.0,87.0,0.0,8.95,RU,1601176873.0
coromoro,6.29,-73.04,61.77,77.0,91.0,2.91,CO,1601176873.0
albanel,48.88,-72.45,60.8,93.0,90.0,2.24,CA,1601176874.0
coquimbo,-29.95,-71.34,50.0,87.0,0.0,3.36,CL,1601176874.0
vanavara,60.34,102.28,45.45,61.0,9.0,5.99,RU,1601176874.0
port hedland,-20.32,118.57,93.2,20.0,0.0,5.82,AU,1601176874.0
kavaratti,10.57,72.64,81.61,79.0,89.0,8.23,IN,1601176875.0
xiaoshi,41.3,124.12,75.2,53.0,0.0,8.95,CN,1601176875.0
namibe,-15.2,12.15,62.29,85.0,77.0,3.38,AO,1601176875.0
nuuk,64.18,-51.72,35.6,93.0,100.0,3.36,GL,1601176875.0
airai,-8.93,125.41,79.66,38.0,45.0,6.55,TL,1601176875.0
goure,13.98,10.27,82.99,58.0,33.0,8.99,NE,1601176876.0
zaria,11.11,7.72,68.95,87.0,81.0,6.2,NG,1601176876.0
hsinchu,24.8,120.97,72.0,93.0,100.0,1.99,TW,1601176620.0
port keats,-14.25,129.55,92.01,48.0,84.0,5.06,AU,1601176876.0
clyde river,70.47,-68.59,28.4,86.0,90.0,4.7,CA,1601176876.0
port lincoln,-34.73,135.87,55.83,65.0,0.0,15.75,AU,1601176877.0
xapuri,-10.65,-68.5,74.03,87.0,10.0,2.71,BR,1601176877.0
port hardy,50.7,-127.42,48.2,100.0,20.0,2.24,CA,1601176877.0
ilulissat,69.22,-51.1,32.0,96.0,99.0,6.93,GL,1601176877.0
visnes,59.36,5.22,60.01,71.0,48.0,4.7,NO,1601176877.0
savantvadi,15.9,73.82,77.0,100.0,75.0,4.7,IN,1601176878.0
katsuura,35.13,140.3,71.01,79.0,100.0,10.04,JP,1601176878.0
broken hill,-31.95,141.43,57.2,47.0,0.0,5.82,AU,1601176878.0
sibolga,1.74,98.78,83.93,61.0,76.0,2.3,ID,1601176879.0
bathsheba,13.22,-59.52,82.4,78.0,20.0,13.87,BB,1601176879.0
chauk,20.88,94.82,84.13,72.0,4.0,11.27,MM,1601176879.0
muzhi,65.37,64.67,51.35,77.0,100.0,6.08,RU,1601176880.0
saint-joseph,-21.37,55.62,70.0,49.0,17.0,8.05,RE,1601176880.0
northam,51.03,-4.22,53.01,78.0,0.0,11.01,GB,1601176881.0
jalu,29.03,21.55,73.72,68.0,0.0,4.0,LY,1601176881.0
grand baie,-20.02,57.58,70.0,78.0,20.0,7.0,MU,1601176881.0
hobyo,5.35,48.53,77.04,84.0,91.0,19.19,SO,1601176881.0
muros,42.78,-9.06,60.01,95.0,98.0,7.34,ES,1601176882.0
vestmannaeyjar,63.44,-20.27,49.71,98.0,100.0,5.84,IS,1601176882.0
strai,58.2,7.9,55.4,71.0,100.0,14.99,NO,1601176882.0
butaritari,3.07,172.79,82.74,73.0,100.0,10.94,KI,1601176882.0
berlevag,70.86,29.09,41.61,69.0,0.0,16.13,NO,1601176882.0
hithadhoo,-0.6,73.08,82.54,67.0,84.0,3.51,MV,1601176883.0
dwarka,22.24,68.97,81.9,72.0,68.0,12.21,IN,1601176678.0
natal,-5.79,-35.21,73.4,83.0,20.0,6.93,BR,1601176883.0
lagoa,39.05,-27.98,69.06,88.0,16.0,14.72,PT,1601176884.0
hambantota,6.12,81.12,80.6,94.0,20.0,6.93,LK,1601176884.0
wagga wagga,-35.12,147.37,59.0,66.0,90.0,3.36,AU,1601176884.0
santa lucia,27.91,-15.54,73.4,69.0,75.0,26.4,ES,1601176884.0
esna,25.29,32.55,77.0,41.0,0.0,7.31,EG,1601176884.0
vila franca do campo,37.72,-25.43,68.0,94.0,75.0,11.41,PT,1601176885.0
george,-33.96,22.46,44.6,75.0,0.0,5.82,ZA,1601176885.0
porbandar,21.64,69.61,80.6,83.0,40.0,8.39,IN,1601176885.0
margate,51.38,1.39,53.01,72.0,100.0,11.01,GB,1601176885.0
kyra,49.58,111.98,48.31,51.0,12.0,12.53,RU,1601176886.0
denton,33.2,-97.13,78.01,64.0,1.0,9.17,US,1601176886.0
kango,0.19,10.1,71.91,96.0,100.0,1.9,GA,1601176887.0
turukhansk,65.82,87.98,43.72,88.0,100.0,10.47,RU,1601176887.0
ust-maya,60.42,134.53,58.64,52.0,100.0,13.24,RU,1601176769.0
noyabrsk,63.2,75.45,48.96,93.0,100.0,8.88,RU,1601176888.0
puerto leguizamo,-0.19,-74.78,73.72,84.0,0.0,2.75,CO,1601176888.0
chitrakonda,18.12,82.08,78.28,80.0,86.0,2.35,IN,1601176889.0
zorgo,12.25,-0.62,76.19,80.0,100.0,5.91,BF,1601176889.0
kodiak,57.79,-152.41,48.2,66.0,20.0,10.29,US,1601176889.0
chuy,-33.7,-53.46,59.54,93.0,100.0,6.93,UY,1601176889.0
saint-pierre,-21.34,55.48,69.8,49.0,0.0,8.05,RE,1601176615.0
bonthe,7.53,-12.51,74.39,90.0,99.0,3.29,SL,1601176890.0
shakawe,-18.37,21.85,65.71,26.0,0.0,7.02,BW,1601176891.0
neiafu,-18.65,-173.98,78.8,65.0,40.0,11.41,TO,1601176891.0
matara,5.95,80.54,82.56,75.0,75.0,7.14,LK,1601176891.0
natchez,31.56,-91.4,69.8,94.0,1.0,3.67,US,1601176891.0
saurimo,-9.66,20.39,66.61,78.0,20.0,2.86,AO,1601176891.0
kudahuvadhoo,2.67,72.89,83.25,70.0,99.0,7.63,MV,1601176892.0
maceio,-9.67,-35.74,73.4,94.0,75.0,8.05,BR,1601176892.0
aykhal,66.0,111.5,33.8,72.0,90.0,6.71,RU,1601176892.0
partur,19.6,76.22,76.19,75.0,26.0,8.99,IN,1601176892.0
san jeronimo,-11.95,-75.28,47.62,72.0,100.0,1.86,PE,1601176892.0
mingguang,32.78,117.96,75.58,59.0,4.0,8.99,CN,1601176893.0
bjornevatn,69.67,29.98,33.8,80.0,34.0,10.29,NO,1601176893.0
kaifeng,34.79,114.35,73.4,69.0,75.0,4.47,CN,1601176893.0
turgutlu,38.5,27.7,73.4,60.0,40.0,9.17,TR,1601176893.0
rocha,-34.48,-54.33,60.06,96.0,100.0,6.96,UY,1601176894.0
vandra,58.65,25.04,54.0,95.0,38.0,1.01,EE,1601176894.0
beloha,-25.17,45.05,66.61,84.0,0.0,3.58,MG,1601176894.0
zhezkazgan,47.8,67.71,39.2,86.0,0.0,13.42,KZ,1601176894.0
dourados,-22.22,-54.81,80.26,38.0,0.0,6.17,BR,1601176894.0
keffi,8.85,7.87,73.4,94.0,89.0,2.24,NG,1601176895.0
palana,59.12,159.97,45.59,68.0,0.0,16.91,RU,1601176895.0
shelburne,44.08,-80.2,68.0,72.0,1.0,10.29,CA,1601176895.0
nelson bay,-32.72,152.15,66.0,31.0,1.0,16.11,AU,1601176895.0
esso,55.93,158.7,51.64,44.0,0.0,1.88,RU,1601176896.0
bandarban,22.2,92.23,82.4,88.0,75.0,12.75,BD,1601176896.0
mahebourg,-20.41,57.7,69.8,77.0,75.0,6.93,MU,1601176896.0
luderitz,-26.65,15.16,52.0,68.0,0.0,20.2,NA,1601176896.0
wasilla,61.58,-149.44,54.0,58.0,20.0,6.93,US,1601176896.0
uspenskaya,45.76,41.07,61.36,60.0,43.0,15.66,RU,1601176897.0
cabedelo,-6.98,-34.83,71.6,94.0,49.0,4.7,BR,1601176897.0
tabuk,17.42,121.44,85.03,70.0,100.0,1.88,PH,1601176897.0
trairi,-3.28,-39.27,76.59,79.0,22.0,10.42,BR,1601176897.0
colesberg,-30.72,25.1,35.15,83.0,0.0,6.78,ZA,1601176898.0
klaksvik,62.23,-6.59,44.6,87.0,100.0,10.29,FO,1601176898.0
iralaya,15.0,-83.23,81.64,84.0,54.0,7.36,HN,1601176898.0
kouqian,43.64,126.46,69.44,57.0,0.0,5.84,CN,1601176898.0
oktyabrskiy,54.48,53.47,47.28,71.0,2.0,1.05,RU,1601176899.0
payo,-3.75,103.64,85.44,59.0,100.0,3.0,ID,1601176899.0
zhigansk,66.77,123.37,46.69,75.0,72.0,3.09,RU,1601176899.0
inongo,-1.95,18.27,68.77,95.0,100.0,3.4,CD,1601176899.0
yumen,40.28,97.2,57.94,29.0,11.0,19.13,CN,1601176899.0
camargo,27.67,-105.17,77.36,26.0,0.0,2.62,MX,1601176900.0
punto fijo,11.7,-70.2,83.37,73.0,85.0,20.69,VE,1601176900.0
atar,20.52,-13.05,91.18,22.0,0.0,13.04,MR,1601176900.0
tretiy severnyy,60.21,59.96,46.65,94.0,36.0,3.15,RU,1601176901.0
dhidhdhoo,6.88,73.1,81.59,80.0,78.0,8.86,MV,1601176901.0
ponta do sol,32.67,-17.1,69.8,73.0,40.0,13.87,PT,1601176901.0
comodoro rivadavia,-45.87,-67.5,59.0,38.0,0.0,6.93,AR,1601176901.0
kalmunai,7.42,81.82,83.26,71.0,28.0,4.81,LK,1601176901.0
ileza,61.05,43.9,45.27,93.0,47.0,4.79,RU,1601176902.0
srednekolymsk,67.45,153.68,52.77,43.0,2.0,12.53,RU,1601176651.0
belaya gora,68.53,146.42,50.67,44.0,75.0,10.38,RU,1601176902.0
areia branca,-4.96,-37.14,75.4,72.0,0.0,15.41,BR,1601176902.0
rio grande,-32.03,-52.1,64.0,96.0,100.0,15.99,BR,1601176902.0
zilupe,56.39,28.12,55.67,73.0,42.0,8.41,LV,1601176903.0
isangel,-19.55,169.27,82.4,74.0,75.0,5.82,VU,1601176903.0
ha giang,22.83,104.98,77.86,84.0,100.0,1.99,VN,1601176877.0
lichinga,-13.31,35.24,61.83,61.0,0.0,12.68,MZ,1601176903.0
luganville,-15.53,167.17,84.2,70.0,40.0,9.17,VU,1601176904.0
