City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kapaa,22.0783333,-159.3219444,80.6,74.0,20.0,13.87,US,1601205129.0
ancud,-41.869721999999996,-73.820278,45.0,94.0,30.0,1.28,CL,1601205129.0
gazli,40.1333333,63.45,73.8,18.0,21.0,14.54,UZ,1601205129.0
college,64.8569444,-147.80277780000003,39.2,86.0,20.0,8.05,US,1601205130.0
cape town,-33.925839,18.423218,62.01,51.0,75.0,5.82,ZA,1601204953.0
punta arenas,-53.15,-70.916667,37.4,77.0,90.0,6.93,CL,1601205130.0
sabha,27.04,14.43,101.89,10.0,0.0,12.12,LY,1601205130.0
port alfred,-33.590571999999995,26.891037,60.78,54.0,10.0,21.61,ZA,1601205131.0
provideniya,64.383333,-173.3,32.27,92.0,37.0,9.44,RU,1601205131.0
isilkul,54.91091,71.272823,55.65,57.0,91.0,5.88,RU,1601205131.0
rikitea,-23.120277800000004,-134.9691667,73.89,84.0,16.0,12.35,PF,1601205131.0
upernavik,72.79,-56.15,26.22,94.0,93.0,7.56,GL,1601205131.0
mataura,-46.19,168.86,35.01,91.0,87.0,8.01,NZ,1601205132.0
pudozh,61.809881999999995,36.534541,66.85,56.0,0.0,5.14,RU,1601205132.0
kolyvan,55.3053,82.7391,51.8,62.0,75.0,2.24,RU,1601205132.0
butaritari,3.07,172.79,82.71,75.0,13.0,10.36,KI,1601205132.0
gobabis,-22.45,18.966666699999998,82.27,12.0,0.0,8.34,NA,1601205133.0
soligalich,59.0796,42.285264,64.78,57.0,3.0,6.35,RU,1601205133.0
kajaani,64.233333,27.73,53.6,93.0,90.0,10.29,FI,1601205133.0
coihaique,-45.58,-72.06666700000001,39.2,86.0,40.0,3.36,CL,1601205133.0
ushuaia,-54.8,-68.3,33.8,80.0,42.0,4.7,AR,1601204909.0
codrington,-38.27,141.97,41.47,77.0,0.0,6.22,AU,1601205134.0
puerto ayora,-0.74,-90.35,68.0,86.0,75.0,8.01,EC,1601205134.0
batemans bay,-35.72,150.175415,48.0,91.0,28.0,1.16,AU,1601205134.0
umm lajj,25.021264000000002,37.268502000000005,92.35,47.0,0.0,15.95,SA,1601205134.0
busselton,-33.652489,115.33,60.01,69.0,100.0,10.49,AU,1601205057.0
kavaratti,10.566667,72.64,82.33,77.0,100.0,12.35,IN,1601205135.0
tura,25.52,90.22,78.48,95.0,86.0,1.54,IN,1601205135.0
vaini,-21.2,-175.2,73.4,78.0,75.0,8.05,TO,1601205135.0
lebu,-37.616667,-73.65,46.15,85.0,8.0,9.35,CL,1601205136.0
tuatapere,-46.133333,167.683333,35.01,91.0,75.0,8.01,NZ,1601205136.0
pangnirtung,66.15,-65.71,28.53,92.0,59.0,0.78,CA,1601205136.0
ribeira grande,38.516667,-28.7,73.4,83.0,20.0,10.29,PT,1601205136.0
la cruz,23.92,-106.9,80.01,92.0,65.0,1.01,MX,1601205137.0
airai,-8.93,125.41,62.35,89.0,54.0,2.73,TL,1601205137.0
grindavik,63.84,-22.433332999999998,46.4,100.0,75.0,6.93,IS,1601205137.0
tiksi,71.68722199999999,128.869444,42.26,86.0,100.0,10.0,RU,1601205137.0
tripoli,32.88,13.19,85.06,50.0,67.0,9.22,LY,1601204955.0
mar del plata,-38.002278000000004,-57.557539,54.0,100.0,90.0,3.36,AR,1601205138.0
kirakira,-10.45,161.91666669999998,79.84,82.0,80.0,14.09,SB,1601205138.0
san patricio,19.22,-104.7,77.4,85.0,42.0,2.33,MX,1601205139.0
guerrero negro,27.976944,-114.06111100000001,67.57,86.0,0.0,6.71,MX,1601205139.0
althofen,46.88,14.47,50.0,76.0,75.0,2.24,AT,1601205139.0
coburg,50.27,10.966667,55.99,72.0,99.0,7.49,DE,1601205140.0
bluff,-46.6,168.333333,35.01,91.0,98.0,8.01,NZ,1601205140.0
zhigansk,66.769722,123.37111100000001,40.66,86.0,29.0,2.86,RU,1601205140.0
avarua,-21.207777800000002,-159.775,69.8,83.0,98.0,6.93,CK,1601205140.0
cherskiy,68.75,161.3,37.51,79.0,66.0,16.73,RU,1601205021.0
hermanus,-34.418696000000004,19.234464000000003,60.01,56.0,35.0,5.01,ZA,1601205141.0
albany,42.6,-73.97,64.99,82.0,78.0,4.23,US,1601205141.0
port hardy,50.7,-127.42,48.2,100.0,90.0,4.7,CA,1601205141.0
bulungu,-4.55,18.6,91.24,45.0,10.0,5.12,CD,1601205141.0
port lincoln,-34.72625,135.87442,55.22,70.0,100.0,16.44,AU,1601205142.0
kalmunai,7.4166667,81.8166667,84.69,73.0,86.0,15.66,LK,1601205142.0
namibe,-15.196110999999998,12.152222,70.25,68.0,63.0,11.7,AO,1601205142.0
sundumbili,-29.133710999999998,31.397521,64.4,59.0,90.0,6.93,ZA,1601205142.0
castro,-24.79,-50.01,74.37,45.0,0.0,5.95,BR,1601205142.0
hobart,-42.88,147.33,48.2,57.0,75.0,10.29,AU,1601205049.0
kenai,60.5544444,-151.2583333,46.0,93.0,75.0,8.05,US,1601204989.0
honningsvag,70.983333,25.97,44.06,64.0,9.0,13.24,NO,1601205143.0
bengkulu,-3.8,102.266667,78.39,81.0,100.0,2.93,ID,1601205072.0
bonnyville,54.267778,-110.73,44.6,75.0,20.0,11.41,CA,1601205143.0
georgetown,5.41,100.34,84.2,70.0,20.0,4.7,MY,1601205010.0
gazojak,41.19,61.4,69.85,21.0,0.0,15.7,TM,1601205144.0
barrow,71.2905556,-156.7886111,32.0,95.0,90.0,9.17,US,1601205144.0
puerto quijarro,-17.783333300000002,-57.7666667,86.97,46.0,9.0,6.46,BO,1601205144.0
thompson,55.74,-97.86,41.0,100.0,90.0,5.82,CA,1601205145.0
arraial do cabo,-22.966667,-42.03,73.4,88.0,27.0,4.7,BR,1601205145.0
lima,-12.04,-77.03,59.0,93.0,90.0,5.82,PE,1601205145.0
hilo,19.729722199999998,-155.09,73.4,88.0,90.0,6.93,US,1601205145.0
saskylakh,71.916667,114.08333300000001,38.62,81.0,100.0,14.23,RU,1601205146.0
chokurdakh,70.633333,147.916667,41.79,64.0,93.0,7.29,RU,1601205146.0
fort nelson,58.81,-122.7,41.0,100.0,40.0,6.93,CA,1601205146.0
isangel,-19.55,169.2666667,73.53,85.0,4.0,6.6,VU,1601205146.0
pitimbu,-7.466667,-34.81,75.2,94.0,12.0,8.05,BR,1601205146.0
leningradskiy,69.38,178.42,28.51,93.0,80.0,5.53,RU,1601205147.0
karaikkudi,10.066667,78.783333,89.44,58.0,91.0,11.21,IN,1601205147.0
mehamn,71.04,27.85,43.68,62.0,21.0,13.56,NO,1601205147.0
port blair,11.666667,92.75,83.52,75.0,95.0,14.65,IN,1601205147.0
port elizabeth,-33.92,25.57,60.8,55.0,20.0,23.04,ZA,1601205148.0
sur,22.57,59.53,93.67,30.0,29.0,5.95,OM,1601205148.0
sabya,17.149496,42.625368,96.8,63.0,20.0,12.75,SA,1601205148.0
nyimba,-14.56,30.81,112.48,8.0,0.0,2.39,ZM,1601205148.0
namatanai,-3.6666667,152.43333330000002,81.77,78.0,64.0,7.05,PG,1601205149.0
mahebourg,-20.4080556,57.7,75.2,73.0,75.0,14.99,MU,1601205149.0
chuy,-33.7,-53.46,61.38,98.0,100.0,8.12,UY,1601205149.0
havelock,34.88,-76.9,68.0,94.0,11.0,4.7,US,1601205149.0
geraldton,-28.77,114.6,62.6,63.0,11.0,6.93,AU,1601205121.0
ust-kuyga,70.016667,135.6,36.27,83.0,76.0,3.09,RU,1601205150.0
barsovo,61.166667000000004,73.166667,62.6,72.0,40.0,11.18,RU,1601205150.0
iqaluit,63.75,-68.51,28.4,79.0,75.0,5.82,CA,1601205150.0
hasaki,35.733333,140.833333,68.0,82.0,75.0,4.7,JP,1601205033.0
bredasdorp,-34.532154,20.040308,59.0,51.0,46.0,9.17,ZA,1601205150.0
glenwood springs,39.5505556,-107.3241667,59.0,69.0,1.0,12.75,US,1601205151.0
mantua,45.17,10.78,64.0,64.0,49.0,7.0,IT,1601205151.0
lorengau,-2.0166667,147.2666667,82.29,79.0,72.0,8.55,PG,1601205151.0
palmer,42.16,-72.33,66.99,93.0,90.0,3.36,US,1601205152.0
foca,38.67,26.76,82.4,58.0,20.0,9.17,TR,1601205152.0
andenes,69.31,16.12,44.6,65.0,5.0,10.29,NO,1601205152.0
zelenogorsk,56.11,94.59,44.98,84.0,100.0,7.43,RU,1601205152.0
swan hill,-35.3386,143.55,45.0,78.0,33.0,5.77,AU,1601205153.0
yellowknife,62.46,-114.35,42.8,93.0,90.0,6.93,CA,1601205153.0
mahajanga,-15.7166667,46.3166667,86.0,48.0,20.0,14.99,MG,1601205153.0
komsomolskiy,40.43,71.72,77.0,15.0,30.0,6.93,UZ,1601205154.0
ayan,56.45,138.166667,49.69,88.0,25.0,3.04,RU,1601205154.0
coffs harbour,-30.296260999999998,153.13,57.99,62.0,40.0,8.05,AU,1601205154.0
sitka,57.0530556,-135.33,53.6,66.0,90.0,17.22,US,1601205155.0
batagay-alyta,67.800556,130.41138899999999,32.65,93.0,99.0,0.49,RU,1601205155.0
envira,-7.3,-70.216667,70.93,97.0,16.0,2.42,BR,1601205155.0
flinders,-34.58,150.86,52.0,69.0,11.0,1.01,AU,1601205156.0
qaanaaq,77.48,-69.36,11.05,76.0,1.0,6.91,GL,1601205156.0
ponta do sol,32.67,-17.1,71.6,73.0,75.0,13.87,PT,1601205156.0
tuktoyaktuk,69.45,-133.04,32.83,97.0,100.0,10.16,CA,1601205156.0
yarmouth,41.71,-70.23,63.0,100.0,75.0,7.96,US,1601205156.0
kidal,18.4411111,1.4077778,99.37,11.0,12.0,7.4,ML,1601205157.0
masunga,-20.62,27.45,89.6,24.0,0.0,3.36,BW,1601205157.0
colombo,6.93,79.85,84.2,74.0,75.0,6.93,LK,1601205157.0
avera,33.19,-82.53,64.99,84.0,90.0,1.1,US,1601205158.0
saint george,37.1,-113.58,64.4,17.0,1.0,4.7,US,1601205158.0
esperance,-33.87,121.9,59.0,82.0,90.0,5.82,AU,1601205158.0
mastic beach,40.7666667,-72.8525,66.2,88.0,90.0,4.43,US,1601205158.0
camana,-16.6227778,-72.7111111,58.6,78.0,70.0,8.68,PE,1601205158.0
ostrovnoy,68.05305600000001,39.513056,46.65,69.0,21.0,8.1,RU,1601205159.0
ndola,-12.96,28.64,102.0,10.0,11.0,3.38,ZM,1601205159.0
puerto del rosario,28.50038,-13.862719,78.8,61.0,40.0,21.92,ES,1601204938.0
jasper,37.2,-94.35,63.0,93.0,1.0,5.82,US,1601205160.0
novobirilyussy,56.9526,90.67,46.74,71.0,98.0,3.87,RU,1601205160.0
brownwood,31.7091667,-98.99083329999999,68.0,94.0,1.0,6.93,US,1601205160.0
saldanha,-33.01167,17.944202,60.8,44.0,19.0,4.7,ZA,1601205160.0
saint-philippe,-21.36,55.7666667,77.0,57.0,90.0,4.7,RE,1601205160.0
hami,42.8,93.45,69.17,22.0,97.0,6.71,CN,1601205161.0
ciamis,-7.3257,108.3534,74.16,89.0,93.0,3.58,ID,1601205161.0
nikolskoye,59.7,30.79,66.2,55.0,0.0,11.18,RU,1601205161.0
enkoping,59.64,17.08,57.2,93.0,90.0,16.11,SE,1601205162.0
kayerkan,69.35,87.76,37.4,93.0,75.0,4.47,RU,1601205162.0
san cristobal,7.77,-72.22,65.03,74.0,96.0,1.41,VE,1601205162.0
mullheim,47.811248,7.6285,52.0,78.0,100.0,4.0,DE,1601205163.0
jovellanos,22.804444399999998,-81.1944444,71.6,100.0,20.0,3.36,CU,1601205163.0
puerto madryn,-42.769201,-65.038513,51.62,52.0,0.0,16.08,AR,1601205163.0
atuona,-9.8,-139.0333333,77.43,75.0,1.0,13.78,PF,1601205163.0
souillac,-20.5166667,57.5166667,75.2,73.0,75.0,14.99,MU,1601205164.0
ondjiva,-17.066667000000002,15.733332999999998,92.62,10.0,0.0,8.46,AO,1601205164.0
cairns,-16.92304,145.766251,75.2,73.0,78.0,5.82,AU,1601205164.0
baykit,61.67,96.37,43.14,74.0,95.0,6.82,RU,1601205164.0
carnarvon,-24.87,113.63,69.8,68.0,0.0,14.99,AU,1601204865.0
agaro,7.85,36.65,74.35,76.0,36.0,1.34,ET,1601205165.0
maun,-19.9833333,23.4166667,91.4,7.0,0.0,8.05,BW,1601205165.0
torbay,47.67,-52.733332999999995,57.99,66.0,75.0,24.16,CA,1601205166.0
panzhihua,26.59,101.705386,75.38,71.0,15.0,0.92,CN,1601205012.0
tashigang,27.33,91.55,73.49,71.0,60.0,3.31,BT,1601205166.0
acapulco,16.86,-99.89,78.55,79.0,93.0,4.65,MX,1601205013.0
yumen,40.28,97.2,63.88,25.0,85.0,11.16,CN,1601205167.0
tasiilaq,65.61,-37.64,35.6,93.0,99.0,2.24,GL,1601205167.0
mandali,33.75,45.5463889,105.6,10.0,0.0,15.48,IQ,1601205167.0
kaitangata,-46.275,169.85,37.0,72.0,53.0,11.01,NZ,1601205167.0
saint anthony,45.02,-93.22,55.99,87.0,20.0,5.82,US,1601205168.0
arraias,-12.93,-46.94,81.79,29.0,0.0,6.06,BR,1601205168.0
oriximina,-1.765278,-55.87,77.81,83.0,27.0,0.96,BR,1601205168.0
suntar,62.14444399999999,117.63194399999999,48.09,65.0,100.0,6.6,RU,1601205168.0
xiamen,24.479794000000002,118.081869,73.4,78.0,90.0,4.47,CN,1601204920.0
vila franca do campo,37.716667,-25.433332999999998,69.8,94.0,75.0,12.75,PT,1601205169.0
bouafle,6.990406,-5.744204,75.2,94.0,90.0,6.93,CI,1601205169.0
hithadhoo,-0.6,73.08,83.08,65.0,77.0,3.29,MV,1601205169.0
anchorage,61.2180556,-149.90027780000003,46.99,87.0,90.0,4.09,US,1601205169.0
sokoni,-6.4333333,39.55,86.0,83.0,75.0,5.82,TZ,1601205170.0
alofi,-19.06,-169.91666669999998,73.4,88.0,89.0,11.41,NU,1601205170.0
port augusta,-32.495971999999995,137.77281200000002,57.2,71.0,67.0,3.36,AU,1601205170.0
lewisville,33.05,-96.99,73.99,88.0,90.0,12.75,US,1601205170.0
meulaboh,4.1363,96.1285,81.84,76.0,64.0,4.36,ID,1601205170.0
garmsar,35.218242,52.340849,91.22,11.0,0.0,6.67,IR,1601205171.0
hamilton,39.18,-84.53,63.0,93.0,20.0,5.82,US,1601205171.0
nioro,13.35,-15.75,85.12,75.0,97.0,6.02,GM,1601205172.0
sao filipe,14.9,-24.5,81.39,75.0,67.0,6.11,CV,1601205172.0
port hawkesbury,45.62,-61.35,60.01,93.0,90.0,4.7,CA,1601205172.0
bloomingdale,27.89,-82.24,75.99,94.0,1.0,3.89,US,1601205172.0
sabang,5.89,95.32,82.09,79.0,66.0,13.94,ID,1601205173.0
la palma,33.85,-118.05,69.01,82.0,90.0,3.36,US,1601205173.0
longyearbyen,78.2166667,15.64,32.0,96.0,90.0,13.87,SJ,1601205173.0
fortuna,40.6,-124.16,59.0,100.0,90.0,4.52,US,1601205173.0
klaksvik,62.2333333,-6.59,46.4,87.0,99.0,16.11,FO,1601205173.0
kemijarvi,66.71,27.43,42.87,92.0,100.0,7.94,FI,1601205174.0
husavik,66.04,-17.34,44.6,93.0,90.0,6.93,IS,1601205174.0
punta cardon,11.658055599999999,-70.215,81.23,80.0,45.0,10.11,VE,1601205174.0
komsomolskoye,55.26,47.55,61.39,45.0,100.0,7.99,RU,1601205174.0
dauphin,51.15,-100.05,50.0,87.0,90.0,8.05,CA,1601205174.0
goderich,43.75,-81.72,66.0,86.0,98.0,1.99,CA,1601205175.0
severo-kurilsk,50.678889,156.125,48.24,79.0,100.0,14.38,RU,1601205175.0
lompoc,34.639166700000004,-120.45694440000001,57.2,93.0,1.0,2.62,US,1601205175.0
morant bay,17.8833333,-76.41,80.6,83.0,20.0,5.82,JM,1601205175.0
camacha,33.083333,-16.333333,69.8,77.0,40.0,10.29,PT,1601205176.0
nemuro,43.323611,145.575,58.1,82.0,100.0,19.98,JP,1601205176.0
atkarsk,51.871853,45.007752,65.05,28.0,0.0,16.22,RU,1601205176.0
huambo,-12.776111,15.739167000000002,93.7,13.0,0.0,3.47,AO,1601205176.0
katsuura,35.133333,140.3,69.8,88.0,75.0,5.82,JP,1601205176.0
kodiak,57.79,-152.40722219999998,46.4,81.0,90.0,11.41,US,1601205177.0
bradu,44.783333,24.9,68.11,36.0,1.0,14.54,RO,1601205177.0
amangarh,34.005833,71.93,87.8,38.0,40.0,6.93,PK,1601205177.0
kotka,60.466667,26.95,68.0,56.0,2.0,8.05,FI,1601205177.0
valdosta,30.8325,-83.27861109999999,69.01,88.0,1.0,3.69,US,1601205178.0
victoria,22.29,114.16,82.99,82.0,100.0,1.01,HK,1601205161.0
qandala,11.471111099999998,49.8738889,88.77,57.0,2.0,6.85,SO,1601205178.0
presidencia roque saenz pena,-26.785221000000003,-60.438761,67.75,90.0,100.0,13.4,AR,1601205178.0
kaseda,31.416666999999997,130.316667,71.6,78.0,75.0,1.12,JP,1601205035.0
bambous virieux,-20.3427778,57.7575,77.0,73.0,75.0,14.99,MU,1601205179.0
nelson bay,-32.720428000000005,152.15,59.0,58.0,75.0,10.29,AU,1601205179.0
visby,57.64,18.3,72.0,64.0,41.0,17.22,SE,1601205179.0
pauini,-7.71,-66.98,72.64,88.0,23.0,1.3,BR,1601205179.0
ahipara,-35.166667,173.166667,56.82,84.0,0.0,10.76,NZ,1601205179.0
yashkul,46.1711,45.3435,72.82,29.0,4.0,21.61,RU,1601205180.0
miles city,46.408333299999995,-105.84,46.4,45.0,1.0,10.29,US,1601205180.0
kavieng,-2.5666667000000003,150.8,82.26,80.0,52.0,12.59,PG,1601205180.0
paraiso,9.84,-83.87,69.8,83.0,98.0,5.82,CR,1601205180.0
lerwick,60.15,-1.15,50.0,81.0,92.0,9.17,GB,1601205178.0
felanitx,39.471911999999996,3.15082,69.8,30.0,20.0,13.87,ES,1601205181.0
carutapera,-1.2,-46.016667,80.56,76.0,96.0,8.43,BR,1601205181.0
honiara,-9.433333300000001,159.95,75.2,100.0,75.0,12.75,SB,1601205181.0
bontang,0.13333299999999998,117.5,79.48,79.0,70.0,6.13,ID,1601205181.0
pitrufquen,-38.983333,-72.65,46.4,100.0,90.0,2.24,CL,1601205182.0
groningen,53.25,6.75,59.0,87.0,75.0,6.93,NL,1601205182.0
kelo,9.31,15.81,81.01,77.0,90.0,3.47,TD,1601205182.0
porto velho,-8.76,-63.9,73.4,94.0,40.0,2.24,BR,1601205182.0
pochutla,15.74,-96.466667,75.0,93.0,100.0,3.27,MX,1601205182.0
bethel,41.37,-73.41,64.0,93.0,90.0,1.68,US,1601205183.0
shu,43.598333000000004,73.76138900000001,68.0,83.0,0.0,5.01,KZ,1601205183.0
nanortalik,60.14,-45.24,37.4,78.0,0.0,12.39,GL,1601205179.0
